Movie_ID,Name,Date,Rate,Votes,Genre,Duration,Type,Nudity,Violence,Profanity,Alcohol,Frightening
653,Logan,2017,8.1,"691,288","Action, Drama, Sci-Fi",137 ,Film,Mild,Severe,Severe,Moderate,Severe
654,Jojo Rabbit,2019,7.9,"341,408","Comedy, Drama, War",108 ,Film,None,Mild,Moderate,Mild,Moderate
655,Dazed and Confused,1993,7.6,"174,514",Comedy,102 ,Film,Mild,Mild,Severe,Severe,None
656,The Chair,1993,7.2,"12,099","Comedy, Drama",30 ,Series,Mild,None,Moderate,Moderate,None
657,One Hour Photo,2002,6.8,"119,154","Drama, Thriller",96 ,Film,Severe,Moderate,Moderate,Mild,Moderate
658,Top Gun,1986,6.9,"311,891","Action, Drama",110 ,Film,Mild,Mild,Moderate,Mild,Mild
659,Idi i smotri,1985,8.3,"68,644","Drama, Thriller, War",142 ,Film,Moderate,Severe,Mild,Mild,Severe
660,Six Feet Under,1985,8.7,"127,144","Comedy, Drama",60 ,Series,Moderate,Moderate,Severe,Severe,Moderate
661,Men in Black,1997,7.3,"537,337","Action, Adventure, Comedy",98 ,Film,Mild,Moderate,Moderate,Mild,Mild
662,The Lord of the Rings The Return of the King,2003,8.9,"1,715,063","Action, Adventure, Drama",201 ,Film,None,Moderate,None,Mild,Moderate
663,Britannia,2003,6.8,"13,974","Action, Drama, Fantasy",60 ,Series,Moderate,Severe,Severe,Mild,Moderate
664,Small Engine Repair,2021,6.6,985,"Comedy, Drama, Thriller",102 ,Film,Severe,Moderate,Severe,Moderate,Moderate
665,Toma,2021,9.3,"5,562","Biography, Drama, Music",140 ,Film,No Rate,No Rate,No Rate,No Rate,No Rate
666,Star Wars,1977,8.6,"1,280,508","Action, Adventure, Fantasy",121 ,Film,None,Mild,None,Mild,Mild
667,The Stand,1977,5.5,"21,306","Adventure, Drama, Fantasy",510 ,Series,Moderate,Severe,Severe,Moderate,Severe
668,The Wonder Years,1977,8.3,"36,046","Comedy, Drama, Family",22 ,Series,None,None,None,None,None
669,Death Note Desu nôto,1977,9.0,"272,380","Animation, Crime, Drama",24 ,Series,Mild,Moderate,Mild,Mild,Severe
670,On the Verge,1977,6.5,"2,065",Comedy,35 ,Series,Moderate,None,No Rate,No Rate,None
671,Clueless,1995,6.9,"198,808","Comedy, Romance",97 ,Film,Mild,None,Mild,Mild,None
672,Baby Driver,2017,7.6,"480,085","Action, Crime, Drama",113 ,Film,None,Moderate,Severe,Mild,Moderate
673,The Ice Road,2021,5.6,"26,526","Action, Adventure, Drama",109 ,Film,None,Moderate,Moderate,Mild,Moderate
674,Harry Potter and the Prisoner of Azkaban,2004,7.9,"582,354","Adventure, Family, Fantasy",142 ,Film,None,Moderate,Mild,Mild,Moderate
675,The Outsiders,1983,7.1,"80,102","Crime, Drama",91 ,Film,Mild,Moderate,Mild,Mild,Moderate
676,The Lost Daughter,2021,6.6,371,Drama,121 ,Film,No Rate,No Rate,No Rate,No Rate,No Rate
677,Escape the Undertaker,2021,4.1,557,"Short, Mystery",31 ,Film,No Rate,No Rate,No Rate,No Rate,No Rate
678,Scott Pilgrim vs the World,2010,7.5,"402,891","Action, Comedy, Fantasy",112 ,Film,Mild,Mild,Mild,Mild,None
679,The Mauritanian,2021,7.5,"38,934","Drama, Thriller",129 ,Film,Mild,Moderate,Moderate,Mild,Severe
680,American Pie,1999,7.0,"390,360",Comedy,95 ,Film,Severe,None,Moderate,Moderate,None
681,Halloween 5 The Revenge of Michael Myers,1989,5.1,"37,734","Horror, Thriller",96 ,Film,Moderate,Severe,Mild,Mild,Severe
682,12 Angry Men,1957,9.0,"732,301","Crime, Drama",96 ,Film,None,None,None,Mild,Mild
683,Death Proof,2007,7.0,"279,711","Action, Thriller",127 ,Film,Mild,Severe,Severe,Moderate,Moderate
684,Atonement,2007,7.8,"263,578","Drama, Mystery, Romance",123 ,Film,Moderate,Moderate,Moderate,Mild,Moderate
685,Longmire,2007,8.3,"31,706","Action, Crime, Drama",60 ,Series,Mild,Moderate,Mild,Moderate,Mild
686,Suedi,2021,6.4,"2,081","Comedy, Drama",89 ,Film,No Rate,No Rate,No Rate,No Rate,No Rate
687,NCIS New Orleans,2021,6.8,"16,654","Action, Crime, Drama",42 ,Series,Mild,Moderate,Mild,Moderate,Moderate
688,Naruto,2021,8.3,"83,968","Animation, Action, Adventure",24 ,Series,Mild,Moderate,Mild,Mild,Moderate
689,Moonrise Kingdom,2012,7.8,"332,257","Comedy, Drama, Romance",94 ,Film,Mild,Mild,Mild,Mild,Mild
690,Clue,1985,7.3,"90,668","Comedy, Crime, Mystery",94 ,Film,Mild,Mild,Mild,Mild,Mild
691,El hoyo,2019,7.0,"191,553","Horror, Sci-Fi, Thriller",94 ,Film,Moderate,Severe,Mild,Mild,Severe
692,In the Heights,2021,7.4,"35,374","Drama, Musical, Romance",143 ,Film,Mild,None,Mild,Mild,None
693,Kamisama no iu tôri,2014,6.4,"5,725","Adventure, Horror, Sci-Fi",117 ,Film,None,Severe,Mild,None,Moderate
694,Altered Carbon,2014,8.0,"152,255","Action, Drama, Sci-Fi",60 ,Series,Severe,Severe,Moderate,Moderate,Moderate
695,SAS Red Notice,2021,5.1,"14,731","Action, Thriller",124 ,Film,None,Moderate,Moderate,None,Moderate
696,What Is Life Worth,2020,6.8,"9,296","Biography, Drama, History",118 ,Film,None,None,Mild,None,Mild
697,Scary Stories to Tell in the Dark,2019,6.2,"68,710","Adventure, Horror, Mystery",108 ,Film,None,Moderate,Mild,None,Severe
698,Enterprise,2019,7.5,"49,317","Action, Adventure, Drama",60 ,Series,Mild,Mild,Mild,None,Mild
699,Deadwood,2019,8.6,"99,699","Crime, Drama, History",55 ,Series,Severe,Severe,Severe,Severe,Moderate
700,No Sudden Move,2021,6.5,"23,345","Crime, Drama, Mystery",115 ,Film,None,Moderate,Moderate,Moderate,Moderate
701,The Neighborhood,2021,6.4,"5,931",Comedy,30 ,Series,Mild,Mild,Mild,Mild,None
702,Barry,2021,8.3,"54,418","Action, Comedy, Crime",30 ,Series,Mild,Severe,Severe,Mild,Moderate
703,The Irishman,2019,7.8,"353,241","Biography, Crime, Drama",209 ,Film,None,Severe,Severe,Moderate,Moderate
